City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,vetovo,43.7,26.2667,-3.58,71,99,5.86,BG,1675639924
312,sinnamary,5.3833,-52.95,24.48,87,100,5.89,GF,1675639659
313,champaign,40.1334,-88.2001,8.04,64,0,6.17,US,1675639925
314,stulovo,58.7225,50.1439,-21.9,100,100,1.52,RU,1675639926
315,vila velha,-20.3297,-40.2925,27.19,84,20,3.6,BR,1675639808
316,nantucket,41.2835,-70.0995,7.08,87,0,6.17,US,1675639785
317,iisalmi,63.5592,27.1907,-3.07,97,100,2.51,FI,1675639927
318,kirakira,-10.4544,161.9205,26.0,94,100,9.93,SB,1675639927
319,mogzon,51.7435,111.9606,-26.51,100,96,1.55,RU,1675639928
320,uruzgan,32.8333,66.0,1.53,87,21,3.23,AF,1675639928
321,flinders,-34.5833,150.8552,26.32,65,20,3.13,AU,1675639377
322,kati,12.7441,-8.0726,24.67,17,3,2.02,ML,1675639930
323,lar,26.2039,83.9717,10.76,74,0,2.37,IN,1675639930
324,santa marta,11.2408,-74.199,30.03,58,40,5.14,CO,1675639348
325,provideniya,64.3833,-173.3,-18.94,100,75,6.0,RU,1675639701
326,pangnirtung,66.1451,-65.7125,-37.59,95,91,1.89,CA,1675639932
327,tomatlan,19.9333,-105.25,28.21,46,1,2.5,MX,1675639932
328,porto santo,33.072,-16.3415,15.21,67,20,6.17,PT,1675639933
329,kibre mengist,5.8833,38.9833,11.56,49,3,1.39,ET,1675639934
330,maloye verevo,59.6136,30.1728,-4.35,94,100,4.03,RU,1675639935
331,iquitos,-3.7481,-73.2472,25.02,88,75,1.03,PE,1675639936
332,praia da vitoria,38.7333,-27.0667,16.14,82,75,7.18,PT,1675639938
333,luderitz,-26.6481,15.1594,16.92,90,59,5.32,NA,1675639612
334,batticaloa,7.7102,81.6924,24.8,85,100,3.24,LK,1675639939
335,usinsk,65.9939,57.5281,-18.68,98,96,3.04,RU,1675639939
336,kununurra,-15.7667,128.7333,26.99,89,29,0.0,AU,1675639728
337,shelburne,44.0787,-80.2041,1.42,86,100,5.51,CA,1675639940
338,matay,28.419,30.7792,10.66,34,0,4.02,EG,1675639941
339,ambon,-3.6954,128.1814,27.08,83,20,1.54,ID,1675639793
340,berdigestyakh,62.0989,126.6992,-36.68,99,100,1.25,RU,1675639942
341,morondava,-20.2833,44.2833,24.51,88,82,3.18,MG,1675639942
342,bonavista,48.6499,-53.1147,-5.37,72,73,9.0,CA,1675639869
343,armidale,-30.5167,151.65,26.13,39,4,1.22,AU,1675639943
344,taoudenni,22.6783,-3.9836,16.24,23,27,4.66,ML,1675639943
345,talnakh,69.4865,88.3972,-16.23,97,98,1.34,RU,1675639567
346,hauge,58.3436,6.2812,4.83,93,100,2.36,NO,1675639944
347,khoy,38.5504,44.9535,0.83,83,99,1.2,IR,1675639944
